county	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16
1	0.4288	0.6008	0.2412	51	20.10	14.73	12.1	58.8	9.20	385	0.1465	20.8748	317.33	1007.35	162.70	0.1619
2	0.9362	0.1511	0.0205	31	18.80	12.49	38.1	21.7	26.22	660	0.2550	23.1058	215.69	0.00	537.19	0.2424
3	39.2831	13.7354	0.8695	30	29.28	27.48	41.6	48.0	25.06	413	0.1511	26.6060	324.68	0.00	1151.75	0.5302
4	0.5973	1.0475	0.0185	9	19.37	13.79	30.1	37.8	16.03	309	0.0474	12.1814	191.22	0.00	211.55	0.1273
5	5.1724	3.1363	1.3294	34	21.72	16.67	33.2	23.3	2.27	291	0.2820	21.0217	260.47	100.50	134.22	0.2253
6	1.3075	0.5837	0.0546	2	15.13	9.94	27.8	33.5	13.20	248	0.0702	60.5927	344.67	0.00	67.22	0.1292
7	2.1759	1.6595	1.1458	1350	32.24	22.07	30.2	47.7	0.06	604	0.1238	20.0298	227.55	419.50	12.03	0.3993
8	0.1527	0.0619	0.1974	36	15.86	13.00	184.4	19.9	7.05	149	0.0450	29.0280	311.14	16.42	0.00	0.0481
9	0.4892	0.7962	0.1448	187	24.59	27.72	12.6	20.3	2.80	464	0.0511	25.8114	237.57	55.72	287.42	0.5228
10	0.1307	0.0534	0.0034	29	20.23	11.83	22.6	28.2	29.31	291	0.1961	25.3576	192.08	141.74	0.00	0.1494
11	0.6057	0.3662	0.1019	1	41.13	35.58	22.6	15.4	12.02	523	0.2164	29.7622	344.03	0.00	104.53	0.3963
12	0.7003	1.2632	0.1224	426	28.56	20.04	24.6	31.0	2.12	1036	0.1198	18.4681	249.66	5046.29	0.00	0.5425
13	0.8057	1.3143	0.4458	566	24.03	17.14	22.7	36.2	26.66	595	0.0434	19.7097	457.60	134.25	0.00	0.4938
14	0.5308	0.3251	0.1125	23	17.25	11.70	50.9	20.7	17.88	646	0.1048	17.9906	275.53	85.85	13.86	0.3021
15	20.9865	8.3098	1.4458	102	18.73	15.47	39.2	43.0	37.49	1159	0.3644	24.1938	403.91	2435.92	1440.54	0.3587
16	1.5370	1.4898	0.3933	168	20.66	16.73	52.1	13.5	7.43	1242	0.2335	20.5655	459.13	0.00	1203.92	0.4285
17	3.4723	3.2936	0.4479	280	39.66	27.47	69.1	39.6	32.50	890	0.3537	21.5696	303.00	6277.50	251.42	0.4067
18	0.9785	0.5658	0.0085	1	20.06	10.60	44.4	19.9	15.84	760	0.1150	26.8394	477.81	38.34	41.53	0.2045
19	0.9472	0.1681	0.0179	3	12.17	7.72	6.4	40.5	32.25	395	0.0486	24.1470	231.38	0.00	0.00	0.1741
20	0.4167	0.5349	0.3514	58	14.82	12.11	11.3	30.9	10.46	1362	0.0527	25.2357	310.90	0.00	65.96	0.2469
21	0.5457	0.1836	0.0256	33	19.27	22.90	14.1	19.4	0.05	249	0.0427	30.7306	295.06	0.00	0.00	0.4525
22	0.3630	0.2137	0.0412	97	19.10	11.81	20.3	8.7	14.64	440	0.0356	17.4958	353.39	0.00	0.00	0.1096
23	0.2398	0.2270	0.0452	2	19.22	13.95	20.0	12.7	0.75	116	0.0268	31.2873	242.68	89.31	26.96	0.0904
24	1.1877	0.5702	0.0408	1	17.64	11.99	10.1	25.9	24.01	1397	0.2483	21.1269	202.74	28.11	0.00	0.5939
25	0.4066	0.1459	0.0029	69	18.59	12.81	12.9	34.2	11.79	279	0.0286	24.5607	272.69	18.75	0.00	0.2754
26	1.5092	1.6007	0.1032	47	8.62	7.22	16.6	10.8	10.91	562	0.1737	23.1859	164.51	0.00	60.16	2.2004
27	24.2813	1.3812	0.7937	67	29.28	27.48	25.5	32.3	16.52	982	0.1740	39.3906	825.42	677.70	1079.45	0.9797
28	19.5950	0.8251	0.5493	35	41.13	35.58	160.7	3.0	0.42	523	1.0304	34.5254	202.32	2509.45	390.89	2.6825
29	33.8228	2.2678	1.0819	272	52.76	47.16	208.9	7.4	6.27	2518	0.3722	41.4930	417.75	3615.50	1849.85	3.4560
